Counter,Date/time,Location,Temperature,Humidity,acc_x,acc_y,acc_z,yaw,pitch,roll,gyro_x,gyro_y,gyro_z
1,2022-04-16 14:58:12.222446,IERS2010 latitude +49.6224 N longitude -35.5121 E elevation 421074.7 m,35.2047,28.6092,0.02,0.031,0.015,192.414,330.08,64.387,-0.0,0.001,0.001
2,2022-04-16 14:58:16.407641,IERS2010 latitude +49.5395 N longitude -35.1244 E elevation 421071.1 m,35.1514,28.6214,0.021,0.031,0.014,191.546,329.724,64.078,0.001,0.002,0.002
3,2022-04-16 14:58:20.565997,IERS2010 latitude +49.4572 N longitude -34.7471 E elevation 421067.2 m,35.1692,28.6979,0.023,0.029,0.011,190.428,329.624,63.561,0.002,0.0,0.001
4,2022-04-16 14:58:24.712111,IERS2010 latitude +49.3740 N longitude -34.3733 E elevation 421063.1 m,35.0803,28.6734,0.021,0.031,0.015,189.215,329.571,63.316,-0.001,0.0,0.002
5,2022-04-16 14:58:28.887188,IERS2010 latitude +49.2895 N longitude -34.0006 E elevation 421058.7 m,35.1336,28.5786,0.019,0.031,0.013,188.559,329.563,63.437,0.002,0.002,0.001
6,2022-04-16 14:58:33.045637,IERS2010 latitude +49.2032 N longitude -33.6276 E elevation 421054.0 m,35.2047,28.7193,0.021,0.031,0.016,188.426,329.65,62.997,0.003,0.002,0.001
7,2022-04-16 14:58:37.191766,IERS2010 latitude +49.1161 N longitude -33.2575 E elevation 421049.1 m,35.1514,28.7193,0.015,0.031,0.011,187.246,329.435,63.089,0.001,0.001,-0.001
8,2022-04-16 14:58:41.360644,IERS2010 latitude +49.0277 N longitude -32.8891 E elevation 421043.8 m,35.2047,28.6826,0.018,0.031,0.012,187.004,329.549,63.456,0.001,0.002,-0.0
9,2022-04-16 14:58:45.526563,IERS2010 latitude +48.9376 N longitude -32.5206 E elevation 421038.3 m,35.2047,28.6979,0.019,0.031,0.014,187.952,329.472,63.077,-0.0,0.0,0.002
10,2022-04-16 14:58:49.689878,IERS2010 latitude +48.8463 N longitude -32.1536 E elevation 421032.5 m,35.1336,28.9243,0.019,0.031,0.015,187.035,329.823,63.587,0.001,0.002,-0.001
11,2022-04-16 14:58:53.870692,IERS2010 latitude +48.7536 N longitude -31.7875 E elevation 421026.4 m,35.2047,28.7468,0.02,0.031,0.013,186.362,330.02,64.063,0.0,-0.0,0.001
12,2022-04-16 14:58:58.023757,IERS2010 latitude +48.6598 N longitude -31.4232 E elevation 421020.1 m,35.1336,28.4011,0.019,0.033,0.018,187.44,330.261,63.56,0.0,-0.0,0.001
13,2022-04-16 14:59:02.198301,IERS2010 latitude +48.5648 N longitude -31.0609 E elevation 421013.5 m,35.2225,28.6581,0.02,0.031,0.015,187.848,330.61,64.323,-0.001,-0.001,0.001
14,2022-04-16 14:59:07.357288,IERS2010 latitude +48.4449 N longitude -30.6123 E elevation 421005.0 m,35.1158,28.603,0.025,0.029,0.013,187.789,330.546,64.271,0.001,-0.0,-0.002
15,2022-04-16 14:59:11.502931,IERS2010 latitude +48.3474 N longitude -30.2541 E elevation 420997.8 m,35.2225,28.3644,0.024,0.029,0.015,186.759,330.325,64.68,-0.001,0.001,0.0
16,2022-04-16 14:59:15.662391,IERS2010 latitude +48.2486 N longitude -29.8973 E elevation 420990.4 m,35.2759,28.4745,0.02,0.032,0.013,185.363,330.046,65.346,-0.001,0.0,0.002
17,2022-04-16 14:59:20.834600,IERS2010 latitude +48.1239 N longitude -29.4550 E elevation 420980.8 m,35.1158,28.3644,0.02,0.032,0.014,184.978,330.064,65.16,0.002,-0.004,-0.0
